140,31,-187
71,-91,-128
47,-103,-55
73,-88,-112
109,20,-201
150,171,-127
123,188,32
75,75,112
72,-42,88
168,-46,19
180,78,46
117,183,27
92,190,-126
9,36,-194
77,-71,-151
183,-27,-119
195,116,-106
102,212,-22
15,141,76
4,-5,88
102,-64,59
175,20,54
164,153,29
134,193,-91
53,115,-179
37,-8,-181
137,-59,-136
206,2,-87
204,120,-51
102,200,2
-12,132,66
-2,-31,68
119,-68,37
155,163,41
145,184,-91
145,66,-182
161,-19,-158
115,-58,-158
46,-2,-195
61,148,-177
115,207,-58
154,155,40
159,59,74
136,-48,43
53,-100,-2
-44,11,62
47,193,33
159,177,-106
147,61,-180
78,-34,-179
42,-18,-191
29,77,-199
75,166,-165
144,199,-76
151,195,-23
140,200,-5
125,200,-8
134,200,2
134,200,9
122,198,-3
129,200,-8
135,192,5
158,138,53
171,5,60
92,-95,10
-18,23,84
54,207,11
145,171,-144
134,31,-192
67,-47,-179
4,-23,-163
2,98,-180
79,205,-125
160,176,-2
181,52,59
139,-72,3
38,-101,-53
-45,1,51
25,180,40
152,198,-79
158,60,-181
79,-69,-144
65,-108,-67
73,-97,-104
140,-16,-175
197,125,-99
142,169,41
75,73,109
139,-34,63
209,25,9
179,141,19
140,198,-60
60,122,-193
34,2,-194
125,-58,-153
187,149,-73
93,212,-3
0,139,74
-23,2,76
70,-71,62
178,-4,51
185,119,41
150,196,-24
146,183,-100
152,123,-173
122,52,-182
139,1,-169
190,-14,-96
219,71,-38
173,158,3
50,189,38
-37,82,71
21,-61,60
120,-51,50
175,36,59
163,148,38
153,197,-69
142,112,-181
107,-2,-179
164,-24,-138
214,42,-85
192,147,-11
97,184,50
-6,128,75
-22,-2,68
77,-85,38
155,-54,34
183,60,63
162,169,32
159,168,-106
154,73,-177
164,-13,-148
215,18,-96
187,158,-42
106,203,9
78,176,68
76,124,96
87,122,94
122,166,50
177,173,-70
190,59,-142
134,-32,-170
82,-22,-193
89,55,-207
114,158,-159
138,207,-63
163,143,47
176,28,68
146,-68,10
47,-103,-5
-43,14,63
27,177,43
143,203,-70
156,79,-177
114,-54,-155
64,-61,-148
81,-21,-187
126,71,-203
139,201,-28
153,138,72
143,6,78
118,-78,21
37,-95,8
-65,17,39
-2,176,39
129,209,-39
155,124,-162
101,-20,-186
29,-94,-110
20,-96,-79
63,-78,-144
140,15,-187
178,135,-131
147,189,0
68,132,93
42,5,101
103,-59,58
159,6,66
121,133,75
87,229,-35
73,135,-183
35,1,-195
109,-44,-165
196,14,-140
189,149,-71
85,206,8
-23,127,69
-27,-40,49
102,-73,33
172,0,54
165,109,52
156,196,-17
119,169,-143
29,54,-194
79,-35,-182
132,-11,-179
163,86,-168
107,201,-95
-12,171,33
-31,-31,56
100,-96,-15
146,-31,49
158,71,77
126,192,25
151,160,-131
155,7,-169
150,-28,-165
135,-13,-186
104,-32,-182
75,-51,-170
55,19,-205
76,142,-176
125,196,-94
154,182,-27
165,148,26
169,117,51
178,119,41
155,163,20
145,175,19
147,175,14
146,188,8
142,188,8
145,187,4
154,166,21
180,90,49
162,-50,37
60,-104,-6
-48,15,54
15,196,28
109,203,-106
106,84,-201
90,-35,-182
60,-40,-176
85,23,-207
119,140,-181
148,197,-66
158,135,60
152,13,76
128,-86,1
-5,-85,-12
-56,78,51
30,211,-4
121,183,-131
109,68,-208
112,-2,-193
103,23,-203
120,93,-197
146,169,-126
158,183,-14
145,116,76
135,-8,82
125,-83,11
51,-104,-18
-56,-2,37
-12,182,16
107,213,-93
115,91,-199
120,9,-199
107,12,-203
119,51,-195
139,140,-164
156,193,-58
151,149,51
155,26,80
121,-84,8
5,-95,-11
-66,50,47
19,195,27
110,211,-90
97,114,-192
97,11,-206
82,17,-198
106,68,-206
